No.,Ag_NPs,Cr_NPs,Cu_NPs,Fe_NPs,Hg_NPs,Mn_NPs,Pb_NPs,Ti_NPs,TOC,leachate_Cu,leachate_Cr,leachate_Fe
56,4.78E+00,4.78E+00,8.79E+00,1.08E+01,8.40E+00,9.82E+00,9.89E+00,9.80E+00,1165.79,29.6,184,4470
57,4.78E+00,4.78E+00,4.78E+00,1.09E+01,8.72E+00,8.89E+00,7.63E+00,8.74E+00,242.11,6.48,36.4,2100
58,7.79E+00,9.09E+00,9.06E+00,1.08E+01,7.46E+00,8.78E+00,9.81E+00,9.66E+00,38.19,6.06,4.16,453
59,9.07E+00,9.49E+00,4.78E+00,1.06E+01,8.35E+00,1.00E+01,1.03E+01,9.09E+00,1157.88,192,283,2820
60,4.78E+00,9.52E+00,4.78E+00,1.04E+01,4.78E+00,9.91E+00,9.87E+00,1.02E+01,486.39,28.8,230,3080
61,4.78E+00,4.78E+00,7.92E+00,1.05E+01,8.70E+00,9.96E+00,9.99E+00,9.95E+00,480.06,12.4,104,1500
62,4.78E+00,4.78E+00,4.78E+00,1.07E+01,4.78E+00,9.26E+00,9.37E+00,9.45E+00,708.9,91.8,657,72900
63,4.78E+00,4.78E+00,8.64E+00,1.06E+01,4.78E+00,4.78E+00,9.67E+00,9.39E+00,699,21,266,2490
64,6.84E+00,8.78E+00,7.65E+00,1.05E+01,4.78E+00,4.78E+00,9.26E+00,9.63E+00,112.17,5.47,27.9,7330
65,4.78E+00,4.78E+00,4.78E+00,1.06E+01,4.78E+00,7.79E+00,7.95E+00,4.78E+00,1011.58,38.3,376,3360
66,4.78E+00,4.78E+00,8.49E+00,4.78E+00,4.78E+00,1.05E+01,8.79E+00,9.00E+00,855.68,13.4,200,2290
67,4.78E+00,4.78E+00,8.45E+00,1.04E+01,9.52E+00,4.78E+00,9.66E+00,4.78E+00,1479.25,33.3,350,16700
68,4.78E+00,4.78E+00,4.78E+00,9.85E+00,4.78E+00,9.73E+00,9.53E+00,1.01E+01,780.87,6.87,328,1570
69,4.78E+00,8.54E+00,4.78E+00,1.02E+01,7.54E+00,9.83E+00,9.13E+00,9.74E+00,746.25,10.7,100,5130
70,4.78E+00,9.50E+00,4.78E+00,9.86E+00,8.76E+00,8.94E+00,8.82E+00,8.74E+00,985.18,35.1,498,2930
71,4.78E+00,8.63E+00,4.78E+00,9.77E+00,4.78E+00,9.20E+00,7.48E+00,8.54E+00,198.51,10.7,46.7,383
72,4.78E+00,4.78E+00,7.69E+00,4.78E+00,8.51E+00,8.57E+00,9.66E+00,8.80E+00,638.5,25.5,462,5510
73,7.00E+00,4.78E+00,4.78E+00,9.71E+00,4.78E+00,4.78E+00,8.20E+00,8.68E+00,860.63,30.8,299,4880
74,7.00E+00,4.78E+00,7.37E+00,8.89E+00,4.78E+00,8.09E+00,8.74E+00,7.86E+00,271.42,2.94,84.6,268
