No.,Ag_NPs,Cr_NPs,Cu_NPs,Fe_NPs,Hg_NPs,Mn_NPs,Pb_NPs,Ti_NPs,TOC,leachate_Cu,leachate_Pb,leachate_Fe
44,4.78E+00,4.78E+00,4.78E+00,1.15E+01,4.78E+00,9.68E+00,9.50E+00,1.09E+01,1915.13,48.3,16.2,13000
45,4.78E+00,9.10E+00,9.50E+00,1.12E+01,4.78E+00,9.35E+00,9.37E+00,1.13E+01,957,13,70,2170
46,4.78E+00,4.78E+00,8.53E+00,1.14E+01,4.78E+00,1.07E+01,1.01E+01,1.02E+01,547.95,4.97,7.71,3480
47,4.78E+00,8.85E+00,8.80E+00,1.14E+01,8.28E+00,9.91E+00,9.92E+00,1.06E+01,535.92,60.9,30.4,5580
48,8.64E+00,9.38E+00,8.10E+00,1.14E+01,8.88E+00,4.78E+00,9.93E+00,1.03E+01,73.15,7.11,0.73,877
49,4.78E+00,8.45E+00,8.59E+00,1.14E+01,8.64E+00,4.78E+00,8.64E+00,9.70E+00,409.64,19.5,3.19,2750
50,4.78E+00,8.67E+00,8.75E+00,1.12E+01,9.49E+00,8.79E+00,1.08E+01,9.61E+00,419.99,25.8,45.8,4070
51,7.93E+00,4.78E+00,8.80E+00,1.11E+01,9.80E+00,1.01E+01,9.99E+00,9.95E+00,600.9,52.4,11.9,2680
52,8.44E+00,4.78E+00,8.96E+00,1.10E+01,7.49E+00,8.83E+00,1.05E+01,9.85E+00,1357.88,43.3,18.5,3390
53,8.98E+00,9.56E+00,7.75E+00,1.09E+01,9.51E+00,9.85E+00,9.45E+00,1.01E+01,625.27,52.5,9.11,1270
54,4.78E+00,4.78E+00,4.78E+00,1.09E+01,4.78E+00,8.91E+00,8.70E+00,9.79E+00,473.11,12.8,2.9,2280
55,4.78E+00,8.56E+00,8.51E+00,1.08E+01,8.25E+00,8.94E+00,9.05E+00,9.97E+00,203.39,10.5,7.87,1140
56,4.78E+00,4.78E+00,8.79E+00,1.08E+01,8.40E+00,9.82E+00,9.89E+00,9.80E+00,1165.79,29.6,9.14,4470
57,4.78E+00,4.78E+00,4.78E+00,1.09E+01,8.72E+00,8.89E+00,7.63E+00,8.74E+00,242.11,6.48,2.3,2100
58,7.79E+00,9.09E+00,9.06E+00,1.08E+01,7.46E+00,8.78E+00,9.81E+00,9.66E+00,38.19,6.06,2.25,453
59,9.07E+00,9.49E+00,4.78E+00,1.06E+01,8.35E+00,1.00E+01,1.03E+01,9.09E+00,1157.88,192,107,2820
60,4.78E+00,9.52E+00,4.78E+00,1.04E+01,4.78E+00,9.91E+00,9.87E+00,1.02E+01,486.39,28.8,7.06,3080
61,4.78E+00,4.78E+00,7.92E+00,1.05E+01,8.70E+00,9.96E+00,9.99E+00,9.95E+00,480.06,12.4,6,1500
62,4.78E+00,4.78E+00,4.78E+00,1.07E+01,4.78E+00,9.26E+00,9.37E+00,9.45E+00,708.9,91.8,674,72900
63,4.78E+00,4.78E+00,8.64E+00,1.06E+01,4.78E+00,4.78E+00,9.67E+00,9.39E+00,699,21,82.7,2490
64,6.84E+00,8.78E+00,7.65E+00,1.05E+01,4.78E+00,4.78E+00,9.26E+00,9.63E+00,112.17,5.47,4.36,7330
65,4.78E+00,4.78E+00,4.78E+00,1.06E+01,4.78E+00,7.79E+00,7.95E+00,4.78E+00,1011.58,38.3,12.1,3360
66,4.78E+00,4.78E+00,8.49E+00,4.78E+00,4.78E+00,1.05E+01,8.79E+00,9.00E+00,855.68,13.4,7.38,2290
67,4.78E+00,4.78E+00,8.45E+00,1.04E+01,9.52E+00,4.78E+00,9.66E+00,4.78E+00,1479.25,33.3,8.29,16700
68,4.78E+00,4.78E+00,4.78E+00,9.85E+00,4.78E+00,9.73E+00,9.53E+00,1.01E+01,780.87,6.87,7.88,1570
69,4.78E+00,8.54E+00,4.78E+00,1.02E+01,7.54E+00,9.83E+00,9.13E+00,9.74E+00,746.25,10.7,6.94,5130
70,4.78E+00,9.50E+00,4.78E+00,9.86E+00,8.76E+00,8.94E+00,8.82E+00,8.74E+00,985.18,35.1,4.23,2930
71,4.78E+00,8.63E+00,4.78E+00,9.77E+00,4.78E+00,9.20E+00,7.48E+00,8.54E+00,198.51,10.7,3.73,383
72,4.78E+00,4.78E+00,7.69E+00,4.78E+00,8.51E+00,8.57E+00,9.66E+00,8.80E+00,638.5,25.5,11.1,5510
73,7.00E+00,4.78E+00,4.78E+00,9.71E+00,4.78E+00,4.78E+00,8.20E+00,8.68E+00,860.63,30.8,20.3,4880
74,7.00E+00,4.78E+00,7.37E+00,8.89E+00,4.78E+00,8.09E+00,8.74E+00,7.86E+00,271.42,2.94,7.55,268
